pop,sex,mesiodistal_UI1,mesiodistal_UI2,mesiodistal_UC,mesiodistal_UP1,mesiodistal_UP2,mesiodistal_UM1,mesiodistal_UM2,mesiodistal_LI1,mesiodistal_LI2,mesiodistal_LC,mesiodistal_LP1,mesiodistal_LP2,mesiodistal_LM1,mesiodistal_LM2,buccolingual_UI1,buccolingual_UI2,buccolingual_UC,buccolingual_UP1,buccolingual_UP2,buccolingual_UM1,buccolingual_UM2,buccolingual_LI1,buccolingual_LI2,buccolingual_LC,buccolingual_LP1,buccolingual_LP2,buccolingual_LM1,buccolingual_LM2
ALEU,female,10.28,9.22,8.5,8.01,7.48,11.83,10.48,NA,NA,NA,NA,NA,NA,NA,7.61,6.88,8.85,9.97,9.46,12.17,11.58,NA,NA,NA,NA,NA,NA,NA
ALEU,male,9.04,7.52,8.16,7.68,7.1,11.21,10.3,NA,NA,NA,NA,NA,NA,NA,7.49,6.78,8.2,9.72,9.22,11.88,11.41,NA,NA,NA,NA,NA,NA,NA
ALEU,male,NA,NA,NA,NA,NA,NA,NA,5.25,6.14,7.79,6.51,6.35,12.17,10.69,NA,NA,NA,NA,NA,NA,NA,6.12,6.55,8.14,7.33,8.04,10.64,10.38
ALEU,male,NA,NA,NA,NA,NA,NA,NA,5.42,5.83,7.56,7.54,7.7,11.88,10.83,NA,NA,NA,NA,NA,NA,NA,6.05,6.8,8.73,8.52,8.93,11.74,11.65
ALEU,male,NA,NA,NA,NA,NA,NA,NA,5.58,5.98,7.17,6.44,6.06,11.29,10.73,NA,NA,NA,NA,NA,NA,NA,6.17,6.99,8.13,7.76,8.09,11.08,10.66
ALEU,male,NA,NA,8.27,NA,7.24,11.16,10.79,NA,5.35,NA,NA,NA,13.06,NA,7.07,NA,7.75,NA,9.14,12.74,11.49,NA,6.07,7.75,8.32,NA,11.27,NA
ALEU,male,NA,NA,NA,7.55,7.2,12.21,10.54,NA,NA,NA,6.91,7.49,13.42,12.06,NA,NA,NA,9.72,9.36,12.4,12.27,NA,NA,NA,8.08,8.44,11.89,11.57
ALEU,male,8.35,NA,8.29,7.52,7.11,11,10.6,NA,NA,7.44,NA,NA,12.29,NA,7.28,NA,8.1,9.1,9.38,11.81,11.28,NA,NA,7.53,NA,NA,11.11,NA
ALEU,male,NA,7.12,NA,NA,7.01,10.46,9.77,NA,NA,NA,6.82,6.78,11.83,11.69,NA,6.78,NA,NA,9.39,11.48,10.96,NA,NA,NA,7.57,7.83,10.97,10.93
ALEU,male,10.21,8.05,8.54,8.17,7.63,NA,NA,NA,6.61,8.37,8.17,NA,NA,NA,8.09,7.34,8.17,9.17,9.71,NA,NA,NA,6.79,8.25,8,NA,NA,NA
ALEU,male,NA,NA,NA,7.54,7.31,11.96,10.54,NA,NA,NA,6.98,7.84,13.47,12.08,NA,NA,NA,9.68,9.34,12.45,12.35,NA,NA,NA,8.14,8.56,12.03,11.66
ALEU,male,8.13,7.21,NA,7.5,7.29,12.21,10.8,NA,NA,NA,NA,NA,13.55,12.9,7.52,7.66,NA,9.24,9.69,12.57,11.84,NA,NA,NA,NA,NA,11.57,11.31
ALEU,male,NA,NA,8.62,7.78,7.39,11.51,10.78,NA,NA,8.07,NA,7.63,NA,12.18,NA,NA,8.94,10.29,10.23,12.94,12.31,NA,NA,8.02,NA,8.93,NA,11.19
ALEU,male,NA,NA,NA,NA,NA,10.22,9.52,5.2,6.33,NA,6.76,7.04,11.5,10.7,NA,NA,NA,NA,NA,11.21,10.76,5.3,5.47,NA,7.49,7.81,10.78,10.02
ALEU,female,NA,NA,NA,7.62,NA,11.32,9.96,5.69,6.52,7.73,7.35,6.88,NA,10.75,NA,NA,NA,9.75,NA,12.67,11.84,5.99,6.29,8.28,7.14,8.03,NA,9.94
ALEU,male,9.21,7.75,8.93,8.29,NA,NA,NA,5.99,6.84,8.24,7.67,8.04,NA,NA,8.07,7.35,9.11,10.42,NA,NA,NA,6.34,6.98,8.62,8.8,9.25,NA,NA
